titulo,descricao,preco,imagem
Oppenheimer,J. Robert Oppenheimer lidera o Projeto Manhattan para criar a bomba atômica. Seu gênio científico se choca com dilemas morais sobre as consequências. Testes secretos e debates éticos definem o fim de uma era e o começo de outra.,10.9,./src/imgs/new1.jpg
Warcraft: O Primeiro Encontro de Dois Mundos,"Um portal conecta Draenor e Azeroth, unindo orcs e humanos em conflito. Medos ancestrais e ambições perigosas ameaçam a paz de ambos os mundos. Heróis improváveis surgem em batalhas mágicas por reputação e sobrevivência.",8.9,./src/imgs/new2.jpg
Rampage: Destruição Total,Experimentos genéticos transformam animais em monstros gigantes. O primatologista Davis Okoye corre contra o tempo para salvar seu amigo gorila. Cidades são devastadas enquanto ele busca deter a ameaça colossal.,7.9,./src/imgs/new3.jpg
A Dama de Ferro,"Margaret Thatcher se torna primeira ministra num mundo dominado por homens. Entre flashbacks, o filme retrata seus triunfos e os custos pessoais do poder. Decisões polêmicas e sacrifícios moldam seu legado controverso.",6.9,./src/imgs/new4.jpg
Liga da Justiça,"Batman e Mulher Maravilha reúnem heróis para enfrentar invasão alienígena. Flash, Aquaman e Ciborgue unem forças contra vilões cósmicos. A união dos poderes estabelece a força da amizade e da cooperação.",9.5,./src/imgs/new5.jpg
Doutor Estranho,"Stephen Strange, neurocirurgião, busca cura após acidente devastador. Nas artes místicas do Kama Taj, aprende a manipular realidades. Entre feitiços e multiversos, redefine o conceito de heroísmo.",9.9,./src/imgs/new6.jpeg
Capitã Marvel,"Carol Danvers descobre ser híbrida Kre humana com poderes extraordinários. Envolvida na guerra Skrull–Kree, busca recuperar suas memórias. Com coragem e força, protege dois mundos e inspira novos heróis.",8.9,./src/imgs/new7.jpg
Viúva Negra,"Natasha Romanoff revisita sua origem na Red Room para encerrar velhas pendências. Conspirações russas revelam laços de família e traições perigosas. Entre lutas intensas, ela luta por redenção e por liberdade.",9.5,./src/imgs/new8.jpg
Homem-Formiga,"Scott Lang herda um traje que encolhe e expande objetos e pessoas. Sob a tutela de Hank Pym, precisa impedir tecnologia letal de cair em mãos erradas. Com humor e habilidade, descobre o verdadeiro valor da grandeza pessoal.",7.9,./src/imgs/new9.jpg
Guardiões da Galáxia,"Peter Quill reúne um grupo de desajustados cósmicos numa missão improvável. Entre roubos e disputas por uma joia poderosa, enfrentam Ronan. Com trilha sonora dos anos 70, provam que família é feita de escolhas.",8.5,./src/imgs/new10.jpg
